city,population,longitude,latitude,
Berlin,3470000,13.404954,52.520007,
New York, 8538000,-74.005973,40.712775,
Madrid, 3166000,-3.703790,40.416775,
Nairobi, 3138000,36.821946,-1.292066,
Tokio, 9467490,139.731992,35.709026,
Canberra, 351000,149.130009,-35.280937,
Brasilia, 2481000,-47.882166,-15.794229,
Peking, 21500000,116.407396,39.904200,
Rabat,577827,-6.83255,34.01325,
Pretoria,741651,28.218370,-25.731340,
Teheran,8154000,51.404343,35.715298,
Reykjavik,123246,-21.827774,64.128288,
Mexiko-Stadt,8851000,-99.133209,19.432608,
Santiago,5150000,-70.673676,-33.447487,
